icao24,origin_country,velocity,on_ground
ab4ae0,United States,72.04,False
a36994,United States,191.06,False
c035bf,Canada,65.92,False
ace7bf,United States,193.97,False
39d30b,France,206.06,False
ac377b,United States,261.04,False
3c6548,Germany,211.31,False
abfd66,United States,266.0,False
a2107b,United States,0.0,True
3c7879,Germany,228.83,False
3c786c,Germany,222.57,False
4690e1,Greece,198.78,False
4b5da4,Switzerland,6.69,True
407b8b,United Kingdom,127.08,False
a0a80e,United States,195.16,False
abadf6,United States,68.61,False
a5f938,United States,228.74,False
ad8aac,United States,47.32,False
4b5da8,Switzerland,0.13,True
407b8f,United Kingdom,206.29,False
a45051,United States,275.0,False
739252,Israel,54.7,False
4b5da3,Switzerland,2.06,True
aba1a0,United States,232.28,False
ae4a17,United States,116.21,False
39e68a,France,160.78,False
e49f5a,Brazil,143.21,False
ab4af1,United States,179.44,False
3c6543,Germany,11.32,True
e48c2f,Brazil,229.94,False
348049,Spain,193.15,False
ace7e7,United States,180.24,False
ac245c,United States,104.91,False
a4bf41,United States,138.14,False
3430cc,Spain,223.91,False
348046,Spain,95.17,False
0d10f8,Mexico,243.87,False
e4932b,Brazil,201.05,False
ab4aee,United States,45.76,False
a3a647,United States,249.35,False
3c4b45,Germany,187.18,False
a76192,United States,115.49,False
3c654a,Germany,12.35,True
3c787a,Germany,24.69,True
ab9a5b,United States,269.21,False
ac3794,United States,56.41,False
a7b169,United States,209.37,False
ae14b9,United States,74.1,False
a61949,United States,137.79,False
aba1b2,United States,8.75,True
3c6551,Germany,184.59,False
a9ea5b,United States,46.71,False
4690ea,Greece,191.51,False
e49f6d,Brazil,79.43,False
c0107a,Canada,222.12,False
ac1d80,United States,200.1,False
a9a1dd,United States,61.39,False
3c6552,Germany,212.81,False
a5a9e6,United States,0.0,True
39e689,France,224.08,False
a3ecc8,United States,209.37,False
39e683,France,0.0,True
800449,India,191.59,False
39e686,France,0.0,True
a85931,United States,109.61,False
a008b7,United States,64.43,False
39e688,France,0.0,True
39e687,France,0.0,True
a0808f,United States,115.55,False
801785,India,75.12,False
0d10fd,Mexico,225.35,False
0d10fe,Mexico,260.15,False
3c654e,Germany,219.87,False
